 301, introduction to data science,4,None, f w, cpe/csc 202 stat 302 stat 312 stat 313.,Introduction to the field of data science and the workflow of a data scientist.  Types of data (tabular textual sparse structured temporal geospatial) basic data management and manipulation simple summaries and visualization.  3 lectures 1 laboratory.
 401, advanced topics in data science,4,None, f, csc 349 csc 466 data 301 stat 334 stat 419.,Principles of data science and big data analytics.  Volume velocity and variety of data.  Acquisition processing and cleaning of large data-sets.  Analytics for big data.  3 lectures 1 laboratory.
 451, data science capstone i,2,None, w, data 401.,Working with clients to develop data-driven solutions for systems to be constructed in 'DATA 452'.  Specification and design requirements elicitation techniques research and data gathering methods; project planning time and budget estimating; project team organization.  Ethics and professionalism.  2 laboratories.
 452, data science capstone ii,2,None, sp, data 451.,Team-based design implementation deployment and delivery of a system or analytical methodology that involves working with and analyzing large quantities of data.  Technical management of research and development teams.  Technical documentation quality assurance integration and systems testing.  Design and conduct of empirical studies.  Visualization and presentation of results orally and in writing.  2 laboratories.
